GID ZTRUE LOGMASS LOGMASS_ERR g_obs r_obs i_obs z_obs g_abs r_abs i_abs z_abs
150210 0.4750 11.0610 0.1085 22.380 21.116 20.393 20.189 -19.748 -21.012 -21.735 -21.939
190215 0.1861 10.8730 0.0080 20.086 19.075 18.610 18.347 -19.696 -20.707 -21.172 -21.435
370374 0.1181 9.9370 0.1040 19.430 18.919 18.680 18.571 -19.272 -19.783 -20.022 -20.131
500389 0.4920 11.6870 0.0925 20.960 20.010 19.310 18.987 -21.259 -22.209 -22.909 -23.232
050078 0.4634 11.1540 0.0720 22.584 21.247 20.407 20.111 -19.480 -20.817 -21.657 -21.953
150212 0.4824 11.5600 0.1320 20.615 19.831 19.285 18.860 -21.553 -22.337 -22.883 -23.308
310238 0.2838 9.9060 0.1565 21.408 20.723 20.570 20.342 -19.409 -20.094 -20.247 -20.475
370376 0.3661 11.3420 0.0460 20.915 19.627 19.159 18.871 -20.543 -21.831 -22.299 -22.587
390259 0.1220 8.7930 0.6675 19.098 18.683 18.544 18.381 -19.681 -20.096 -20.235 -20.398
500394 0.5956 11.3130 0.1470 21.635 20.687 20.140 19.876 -21.085 -22.033 -22.580 -22.844
520232 0.4714 9.6140 0.2565 22.229 21.867 21.597 21.464 -19.879 -20.241 -20.511 -20.644
540132 0.4889 11.2100 0.1100 22.310 21.375 20.711 20.237 -19.893 -20.828 -21.492 -21.966
120637 0.2926 11.0610 0.0265 20.942 19.733 19.151 19.023 -19.951 -21.160 -21.742 -21.870
150217 0.4605 11.6760 0.1270 21.208 19.912 19.276 18.928 -20.839 -22.135 -22.771 -23.119
350047 0.2335 10.4910 0.1235 19.818 19.303 19.014 18.801 -20.516 -21.031 -21.320 -21.533
440285 0.1779 10.6340 0.0625 19.697 19.020 18.650 18.473 -19.977 -20.654 -21.024 -21.201
500396 0.5555 10.3960 0.5495 22.606 21.778 21.615 21.425 -19.930 -20.758 -20.921 -21.111
530302 0.3379 10.2090 0.3650 21.410 20.727 20.582 20.311 -19.845 -20.528 -20.673 -20.944
540134 0.5176 11.5920 0.0740 21.963 20.628 19.864 19.429 -20.388 -21.723 -22.487 -22.922
590062 0.4056 10.2480 0.4350 22.537 22.118 21.657 21.390 -19.183 -19.602 -20.063 -20.330
071113 0.4917 11.3120 0.2810 21.225 20.578 20.035 19.653 -20.993 -21.640 -22.183 -22.565
140164 0.3538 10.0280 0.2515 21.846 21.113 20.738 20.630 -19.525 -20.258 -20.633 -20.741
330061 0.3199 10.4730 0.1420 20.599 19.821 19.624 19.426 -20.518 -21.296 -21.493 -21.691
350049 0.4636 10.9750 0.4910 21.534 20.502 20.475 20.246 -20.531 -21.563 -21.590 -21.819
500025 0.3212 11.3090 0.0235 20.515 19.450 18.910 18.625 -20.612 -21.677 -22.217 -22.502
540138 0.3659 10.9800 0.3175 20.404 19.637 19.368 19.135 -21.053 -21.820 -22.089 -22.322
000095 0.3303 11.0100 0.0065 21.116 20.110 19.657 19.324 -20.081 -21.087 -21.540 -21.873
350050 0.4036 10.5040 0.1815 20.210 19.542 19.354 19.091 -21.497 -22.165 -22.353 -22.616
350714 0.5241 11.2610 0.2495 22.554 21.367 20.214 20.128 -19.830 -21.017 -22.170 -22.256
550223 0.1653 11.3460 0.0680 19.004 17.977 17.613 17.260 -20.493 -21.520 -21.884 -22.237
150221 0.4591 11.1880 0.2235 21.466 20.431 19.960 19.642 -20.574 -21.609 -22.080 -22.398
160225 0.2335 9.7820 0.3150 21.605 21.032 20.844 20.602 -18.729 -19.302 -19.490 -19.732
310271 0.6739 9.6880 0.3120 22.032 21.956 21.897 21.801 -21.014 -21.090 -21.149 -21.245
520252 0.6469 9.9960 0.5630 21.829 21.519 21.282 20.897 -21.109 -21.419 -21.656 -22.041
530306 0.3397 10.1050 0.2045 22.423 21.564 21.198 20.989 -18.845 -19.704 -20.070 -20.279
540142 0.3061 10.1020 0.1430 20.374 19.845 19.778 19.437 -20.632 -21.161 -21.228 -21.569
580024 0.5560 9.9720 0.8625 23.541 22.976 23.458 22.234 -18.998 -19.563 -19.081 -20.305
