# CID HOST_LOGMASS HOST_LOGMASS_ERR
PSc500091 10.2970 0.3270
PSc540242 10.8710 0.2335
PSc560120 10.9430 0.3265
PSc040163 9.8220 0.6320
PSc070110 10.8750 0.4735
PSc130755 8.9520 0.5110
PSc190364 9.9660 0.7970
PSc360052 11.6340 0.0230
PSc360688 11.1650 0.2080
PSc400106 11.5500 0.0380
PSc460026 10.1000 0.5070
PSc500093 -99.0000 0.0000
PSc000227 9.1010 0.1780
PSc070111 10.2030 0.1950
PSc140276 11.3430 0.0360
PSc300139 10.2750 0.1880
PSc350213 11.5690 0.3480
PSc370522 10.5410 0.5045
PSc440525 11.4910 0.0520
PSc530081 10.3220 0.1605
PSc560124 10.9470 0.0085
PSc100206 11.5660 0.0135
PSc120039 10.7520 0.3410
PSc130758 9.2170 0.5245
PSc360701 10.7390 0.2755
PSc370528 10.7720 0.2700
PSc400113 11.6680 0.0595
PSc440531 11.6800 0.1990
PSc480560 9.9440 0.2405
PSc530082 9.9110 0.4150
PSc040168 10.8980 0.0835
PSc120762 10.4840 0.2855
PSc350219 9.6420 0.3265
PSc360060 11.3940 0.0260
PSc360704 9.2820 0.1105
PSc420435 11.0160 0.0445
PSc580210 8.9260 0.2700
PSc590248 10.8560 0.1150
PSc080146 10.1910 0.1595
PSc460037 9.6550 0.2345
PSc490156 9.6370 0.2325
PSc500097 10.4000 0.5005
PSc530540 10.2290 0.1920
PSc000236 10.9020 0.0505
PSc040170 11.4490 0.0465
PSc140286 8.9620 0.2010
PSc150365 11.2650 0.0205
PSc360067 11.7740 0.0790
PSc380318 11.4430 0.0490
PSc460038 11.2760 0.0395
PSc490181 10.6940 0.4295
PSc500099 11.8290 0.1145
PSc530542 10.4570 0.4195
PSc300159 9.8380 0.3005
PSc390441 10.2540 0.0790
PSc480126 10.8390 0.0660
PSc530086 10.4750 0.0950
PSc040176 10.9920 0.0530
PSc120085 10.9000 0.1820
PSc150379 10.5870 0.0610
PSc300166 10.4990 0.2120
PSc360735 11.2570 0.1455
PSc390442 10.9790 0.0160
PSc440003 11.1380 0.0195
PSc520011 11.2590 0.1080
PSc530088 11.0990 0.2755
PSc090401 11.0840 0.2010
PSc130037 7.5730 1.2065
PSc350233 9.1810 0.0815
PSc370542 11.3630 0.1735
PSc460054 11.6390 0.0360
PSc480128 11.3510 0.0140
PSc490191 10.3110 0.1740
PSc500102 10.1340 0.2195
PSc530089 10.1420 0.1420
PSc070175 11.3730 0.0705
PSc140299 8.9180 0.2005
PSc350235 10.1270 0.2855
PSc490194 7.5650 0.6775
PSc520015 11.0900 0.4680
PSc040198 9.5410 0.4085
PSc050607 9.4580 0.2300
PSc120094 11.6500 59.1350
PSc170106 11.1500 0.0285
PSc520016 10.0110 0.3850
PSc540267 10.0060 0.0260
PSc050617 10.7080 0.2225
PSc130056 9.5710 0.2170
PSc130798 10.8890 0.0245
PSc320077 11.5210 0.1215
PSc480136 -99.0000 0.0000
PSc510122 11.0030 0.0800
PSc520017 11.7210 0.9940
PSc000260 11.5680 0.0675
PSc070194 11.4840 0.3020
PSc120111 9.3160 0.1255
PSc170118 10.5020 0.5145
PSc360106 11.2760 0.0880
PSc370563 10.8590 0.0765
PSc520019 11.2660 0.0980
PSc560150 11.4580 0.0555
PSc070200 11.5620 0.2505
PSc080238 9.8020 0.2240
PSc090454 11.6650 0.0415
PSc370034 9.3930 0.2965
PSc370566 9.7450 0.1105
PSc460063 10.0230 0.1080
PSc490199 11.6750 0.0585
PSc530585 11.1340 0.0585
PSc050625 11.1580 0.0425
PSc080241 10.8210 0.0995
PSc151794 11.1900 0.0505
PSc180329 10.5550 0.2565
PSc200026 10.9520 0.0480
PSc390471 10.5040 0.2215
PSc460064 9.3810 0.3130
